docType,title,id,url,authority,programOwner,shortDesc,desc,policyFramework,category,region,topic,service,commodity,clientType,programStatus,createdDate,modifiedDate,publishedDate,desc_new
program,Alberta Range Plants and Their Classification,ABARD-649-en,https://open.alberta.ca/publications/2813319,Provincial,ABARD,"A table of native and introduced plant species in Alberta rangeland plant communities, as well as plant type and grazing suitability.",None,NotApplicable,GuidesInformation,Alberta,ClimateChangeResilience,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-19,2021-02-19,"A table of native and introduced plant species in Alberta rangeland plant communities, as well as plant type and grazing suitability."
program,Grazing and Range Management,ABARD-655-en,https://www.alberta.ca/grazing-and-range-management.aspx,Provincial,ABARD,"Grazing lease information and range management, monitoring and stewardship.",None,NotApplicable,GuidesInformation,Alberta,WaterSoilShelterbelts,ExpertiseAdviceGuidance,Livestock,IndustryAssociationsFarmingOrganizations,open,2018-08-03,2021-02-19,2021-02-19,"Grazing lease information and range management, monitoring and stewardship."
program,Making Good Silage,ABARD-664-en,https://www.alberta.ca/making-good-silage.aspx,Provincial,ABARD,What are the key things to remember in making good silage?,None,NotApplicable,GuidesInformation,Alberta,EnergySustainabilityBMPs,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,What are the key things to remember in making good silage?
program,Introduction to Crop Marketing,ABARD-667-en,https://www.alberta.ca/introduction-to-crop-marketing.aspx,Provincial,ABARD,"An overview of crop marketing, its psychology and advices for planning to market.",None,NotApplicable,Marketing,Alberta,DevelopingNewMarketsExporting,EconomicDataInformation,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,"An overview of crop marketing, its psychology and advices for planning to market."
program,Varieties of Pulse Crops for Alberta,ABARD-669-en,https://open.alberta.ca/publications/varieties-of-pulse-crops-for-alberta,Provincial,ABARD,"Important agronomic characteristics and disease resistance information are provided for varieties of field pea, chickpea, lentil, fababean, dry bean and soybean.",None,NotApplicable,GuidesInformation,BritishColumbia,CropProduction,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,"Important agronomic characteristics and disease resistance information are provided for varieties of field pea, chickpea, lentil, fababean, dry bean and soybean."
program,Alberta Organic Products Regulations,ABARD-673-en,https://www.alberta.ca/alberta-organic-products-regulations.aspx,Provincial,ABARD,New requirements for organics will help increase consumer confidence that products labelled as organic are meeting a consistent and well-recognized standard.,None,NotApplicable,GuidesInformation,Alberta,RegulationsEnforcement,RegulationsEnforcement,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,New requirements for organics will help increase consumer confidence that products labelled as organic are meeting a consistent and well-recognized standard.
program,Commercial Greenhouse Tomato Production,ABARD-675-en,https://www.alberta.ca/commercial-greenhouse-tomato-production.aspx,Provincial,ABARD,Introduction to a guide providing basic production information for commercial greenhouse tomato growers.,None,NotApplicable,GuidesInformation,Alberta,ProductDevelopmentCommercialization,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,IndustryAssociationsFarmingOrganizations,open,2018-08-03,2021-02-22,2021-02-22,Introduction to a guide providing basic production information for commercial greenhouse tomato growers.
program,Commercial greenhouses,ABARD-679-en,https://www.alberta.ca/greenhouses.aspx,Provincial,ABARD,"Information involving production, marketing, sanitation and disease risks for greenhouse crops.",None,NotApplicable,GuidesInformation,Alberta,ProductDevelopmentCommercialization,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-04-23,2021-04-23,"Information involving production, marketing, sanitation and disease risks for greenhouse crops."
program,"Tomatoes, Electrical Conductivity and Temperature",ABARD-680-en,https://www.alberta.ca/tomatoes-electrical-conductivity-and-temperature.aspx,Provincial,ABARD,Information on problems with tomatoes if you are not able to control the temperature and root zone Electrical Conductivity (E.C.).,None,NotApplicable,GuidesInformation,Alberta,ProductDevelopmentCommercialization,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,Information on problems with tomatoes if you are not able to control the temperature and root zone Electrical Conductivity (E.C.).
program,Maintenance and Cleaning of Drip Irrigation,ABARD-682-en,https://www.alberta.ca/maintenance-and-cleaning-of-drip-irrigation.aspx,Provincial,ABARD,"Discussion on the cleaning and maintaining of filter, tubing and emitters of drip irrigation systems in greenhouses.",None,NotApplicable,GuidesInformation,Alberta,OrganicGreenhouseFarming,LandInfrastructure,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,"Discussion on the cleaning and maintaining of filter, tubing and emitters of drip irrigation systems in greenhouses."
program,Diseases of Sweet Pepper,ABARD-685-en,https://www.alberta.ca/diseases-of-sweet-pepper.aspx,Provincial,ABARD,"Describes common diseases affecting sweet peppers, physiological symptoms of infection, and control measures.",None,NotApplicable,GuidesInformation,Alberta,CropProduction,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-22,2021-02-22,"Describes common diseases affecting sweet peppers, physiological symptoms of infection, and control measures."
program,Pests of Greenhouse Sweet Peppers and their Biological Control,ABARD-688-en,https://www.alberta.ca/pests-of-greenhouse-sweet-bell-peppers-and-their-biological-control.aspx,Provincial,ABARD,Descriptions of the common pests of greenhouse peppers and a list of the biocontrol agents recommended for control.,None,NotApplicable,GuidesInformation,Alberta,CropProduction,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-23,2021-02-23,Descriptions of the common pests of greenhouse peppers and a list of the biocontrol agents recommended for control.
program,Diseases of Raspberries,ABARD-695-en,https://www.alberta.ca/diseases-of-raspberries.aspx,Provincial,ABARD,"Descriptions, symptoms and control practices for common diseases that can affect raspberries.",None,NotApplicable,GuidesInformation,Alberta,CropProduction,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-03,2021-02-23,2021-02-23,"Descriptions, symptoms and control practices for common diseases that can affect raspberries."
program,Alberta Clubroot Management Plan,ABARD-703-en,https://www.alberta.ca/alberta-clubroot-management-plan.aspx,Provincial,ABARD,An overview of the clubroot disease and its incidence in Alberta and a description of management practices.,None,NotApplicable,GuidesInformation,Alberta,EnergySustainabilityBMPs,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,An overview of the clubroot disease and its incidence in Alberta and a description of management practices.
program,Best Management Practices – Equipment Sanitation,ABARD-704-en,https://www.alberta.ca/best-management-practices-equipment-sanitation.aspx,Provincial,ABARD,Sanitation guidelines for farm machinery to aid in the prevention of clubroot infestation.,None,NotApplicable,GuidesInformation,Alberta,CropProduction,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,Sanitation guidelines for farm machinery to aid in the prevention of clubroot infestation.
program,Other Pests and Nuisances,ABARD-705-en,https://www.alberta.ca/other-pests-and-nuisances.aspx,Provincial,ABARD,Information and control plans and resources for parasites and vertebrate pests.,None,NotApplicable,GuidesInformation,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Nonspecific,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,Information and control plans and resources for parasites and vertebrate pests.
program,Economic Thresholds for Insects Attacking Oilseeds,ABARD-706-en,https://www.alberta.ca/economic-thresholds-for-insects-attacking-oilseeds.aspx,Provincial,ABARD,Results of a study to determine the economic thresholds for insects attacking oilseed crops.,None,NotApplicable,GuidesInformation,Alberta,EnergySustainabilityBMPs,ResearchResults,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,Results of a study to determine the economic thresholds for insects attacking oilseed crops.
program,Diseases of Field Peas,ABARD-709-en,https://www.alberta.ca/diseases-of-field-peas.aspx,Provincial,ABARD,"Descriptions, illustrations and management strategies of common diseases of field peas.",None,NotApplicable,GuidesInformation,Alberta,CropProduction,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,"Descriptions, illustrations and management strategies of common diseases of field peas."
program,Faba Bean,ABARD-714-en,https://www.alberta.ca/faba-bean.aspx,Provincial,ABARD,Description and uses of faba beans as human and animal food source; Alberta production and current market and pricing details for faba bean varieties.,None,NotApplicable,GuidesInformation,Alberta,EnergySustainabilityBMPs,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,Description and uses of faba beans as human and animal food source; Alberta production and current market and pricing details for faba bean varieties.
program,Economic Thresholds for Insects Attacking Special Crops,ABARD-719-en,https://www.alberta.ca/economic-thresholds-for-insects-attacking-special-crops.aspx,Provincial,ABARD,An updated summary of recommended economic thresholds for major pests attacking special crops in Western Canada.,None,NotApplicable,GuidesInformation,Alberta,BasicAppliedResearch,ResearchResults,GrainsCerealsOtherCrops,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,An updated summary of recommended economic thresholds for major pests attacking special crops in Western Canada.
program,Mandatory Chronic Wasting Disease Surveillance Program,ABARD-722-en,https://www.alberta.ca/mandatory-chronic-wasting-disease-surveillance-program.aspx,Provincial,ABARD,Alberta's Chronic Wasting Disease (CWD) test results in farmed cervids.,None,NotApplicable,GuidesInformation,Alberta,RegulationsEnforcement,RegulationsEnforcement,Livestock,NonprofitCommunityOrganizations,open,2018-08-07,2021-02-23,2021-02-23,Alberta's Chronic Wasting Disease (CWD) test results in farmed cervids.
program,Fish Culture Licence,ABARD-727-en,https://www.alberta.ca/fish-culture-licence.aspx,Provincial,ABARD,You may obtain a recreational or commercial fish culture licence for certain species in Alberta.,None,NotApplicable,GuidesInformation,Alberta,EnergySustainabilityBMPs,ExpertiseAdviceGuidance,FishSeafood,GeneralPublic,open,2018-08-08,2021-02-23,2021-02-23,You may obtain a recreational or commercial fish culture licence for certain species in Alberta.
program,Beef Nutrition,ABARD-735-en,https://www.alberta.ca/beef-nutrition.aspx,Provincial,ABARD,"About managing beef nutrition, specific vitamins and nutrients, and guidelines for beef rations.",None,NotApplicable,GuidesInformation,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,NonprofitCommunityOrganizations,open,2018-08-08,2021-02-23,2021-02-23,"About managing beef nutrition, specific vitamins and nutrients, and guidelines for beef rations."
program,AgriProfit$ Beef Economics,ABARD-748-en,https://www.alberta.ca/agriprofits-beef-economics.aspx,Provincial,ABARD,"Provides information, analysis and tools relating to the economics and management of primary beef businesses.",None,NotApplicable,Service,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,NonprofitCommunityOrganizations,open,2018-08-09,2021-02-24,2021-02-24,"Provides information, analysis and tools relating to the economics and management of primary beef businesses."
program,Breakeven Analysis for Feeder Cattle,ABARD-751-en,https://www.alberta.ca/breakeven-analysis-for-feeder-cattle.aspx,Provincial,ABARD,"A detailed description of breakeven analysis, a specialized financial tool used to evaluate feeder cattle purchase and sale decisions.",None,NotApplicable,Marketing,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,NonprofitCommunityOrganizations,open,2018-08-09,2021-02-24,2021-02-24,"A detailed description of breakeven analysis, a specialized financial tool used to evaluate feeder cattle purchase and sale decisions."
program,Predicting Feeder Cattle Prices,ABARD-752-en,https://www.alberta.ca/economics-and-marketing-predicting-feeder-cattle-prices.aspx,Provincial,ABARD,A review of the key factors of supply and demand which affect feeder cattle prices including a formula summarizing how demand affects feeder prices.,None,NotApplicable,Marketing,Alberta,DataMapsTools,ExpertiseAdviceGuidance,Livestock,NonprofitCommunityOrganizations,open,2018-08-09,2021-02-25,2021-02-25,A review of the key factors of supply and demand which affect feeder cattle prices including a formula summarizing how demand affects feeder prices.
program,Using the Animal Unit Month (AUM) Effectively,ABARD-775-en,https://open.alberta.ca/publications/3989721,Provincial,ABARD,An explanation of how the Animal Unit Month (AUM) and animal unit equivalent (AUE) are used as tools to calculate suitable stocking rates for pastures.,None,NotApplicable,GuidesInformation,Alberta,GeographyOptimizingLandUse,ExpertiseAdviceGuidance,Livestock,NonprofitCommunityOrganizations,open,2018-08-10,2021-03-11,2021-03-11,An explanation of how the Animal Unit Month (AUM) and animal unit equivalent (AUE) are used as tools to calculate suitable stocking rates for pastures.
program,Office of the Chief Provincial Veterinarian,ABARD-777-en,https://www.alberta.ca/about-office-of-the-chief-provincial-veterinarian.aspx,Provincial,ABARD,Provides scientific and veterinary support in working to prevent and respond to animal health concerns. ,None,NotApplicable,Service,Alberta,LaboratoryVeterinaryServices,LaboratoryVeterinaryServices,PoultryEggs,IndustryAssociationsFarmingOrganizations,open,2018-08-10,2021-03-11,2021-03-11,Provides scientific and veterinary support in working to prevent and respond to animal health concerns. 
program,Bovine Trichomoniasis,ABARD-780-en,https://www.alberta.ca/bovine-trichomoniasis-notifiable.aspx,Provincial,ABARD,"Description, diagnosis and measures to prevent the transmission of trichomoniasis in cattle.",None,NotApplicable,GuidesInformation,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,NonprofitCommunityOrganizations,open,2018-08-10,2021-07-20,2021-03-11,"Description, diagnosis and measures to prevent the transmission of trichomoniasis in cattle."
program,Livestock Diseases,ABARD-787-en,https://www.alberta.ca/livestock-diseases.aspx,Provincial,ABARD,Resources for farmers and operators on a range of livestock diseases and pests.,None,NotApplicable,GuidesInformation,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,PoultryEggs,NonprofitCommunityOrganizations,open,2018-08-10,2021-03-11,2021-03-11,Resources for farmers and operators on a range of livestock diseases and pests.
program,Livestock Traceability,ABARD-789-en,https://www.alberta.ca/livestock-traceability.aspx,Provincial,ABARD,"Traceability in Alberta relies on 3 fundamental pillars of premises identification, animal identification and animal movement.",None,NotApplicable,GuidesInformation,Alberta,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,FarmersFoodProducers,open,2018-08-10,2021-03-11,2021-03-11,"Traceability in Alberta relies on 3 fundamental pillars of premises identification, animal identification and animal movement."
program,AgriProfit$ Business Analysis and Research Program,ABARD-790-en,https://www.alberta.ca/agriprofits.aspx,Provincial,ABARD,"Provides good business management information to farm operators, so they can make better business management decisions.",None,NotApplicable,Program,Alberta,FinancingCreditIncomeStability,FinancialSupportIncentives,FruitsVegetablesOtherHorticulture,IndustryAssociationsFarmingOrganizations,open,2018-08-23,2021-03-11,2021-03-11,"Provides good business management information to farm operators, so they can make better business management decisions."
program,Business Development Program - ACOA,ACOA-001-en,https://www.canada.ca/en/atlantic-canada-opportunities/services/bdp.html,Federal,ACOA,"The BDP provides access to capital in the form of interest-free, unsecured, repayable contributions, to help you set up, expand or modernize your business.","Focusing on small and medium-sized enterprises, ACOA can provide an unsecured, interest-free loan towards the eligible costs of a new establishment, expansion, modernization, or a project which improves your competitiveness. ACOA's contribution is repayable on a time schedule tailored to your circumstances.",NotApplicable,Program,PrinceEdwardIsland,NewToFarming,FinancialSupportIncentives,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2013-02-04,2021-03-15,2021-03-15,"Focusing on small and medium-sized enterprises, ACOA can provide an unsecured, interest-free loan towards the eligible costs of a new establishment, expansion, modernization, or a project which improves your competitiveness. ACOA's contribution is repayable on a time schedule tailored to your circumstances."
program,LearnSphere - Training and Consulting Services,ACOA-003-en,https://www.learnsphere.ca/,Federal,ACOA,"LearnSphere designs, develops and implements comprehensive, evidence-based learning solutions. We help people and organizations across Canada improve their knowledge, skills and abilities in the workplace.",None,NotApplicable,EducationTraining,International,FinancingCreditIncomeStability,TrainingWorkshops,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2013-02-04,2021-04-08,2021-04-08,"LearnSphere designs, develops and implements comprehensive, evidence-based learning solutions. We help people and organizations across Canada improve their knowledge, skills and abilities in the workplace."
program,Atlantic Innovation Fund,ACOA-004-en,https://www.canada.ca/en/atlantic-canada-opportunities/services/atlanticinnovationfund.html,Federal,ACOA,"The AIF helps Atlantic Canadians develop and bring to market new products and services that lead to market success, help grow strategic sectors, or lead to the creation of research and commercialization partnerships.",None,NotApplicable,Program,PrinceEdwardIsland,FinancingCreditIncomeStability,FinancialSupportIncentives,Nonspecific,Cooperatives,open,2013-02-04,2021-04-08,2021-04-08,"The AIF helps Atlantic Canadians develop and bring to market new products and services that lead to market success, help grow strategic sectors, or lead to the creation of research and commercialization partnerships."
program,Planning for Success: your guide to preparing a business and marketing plan,ACOA-10001-en,https://www.canada.ca/en/atlantic-canada-opportunities/services/factsheetsandbrochures6.html,Federal,ACOA,"This guide is designed to help you put together a comprehensive, strategic and effective blueprint for your business.",None,NotApplicable,GuidesInformation,PrinceEdwardIsland,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2019-12-19,2021-04-08,2021-04-08,"This guide is designed to help you put together a comprehensive, strategic and effective blueprint for your business."
program,Business Scale-up and Productivity,ACOA-10002-en,https://www.canada.ca/en/atlantic-canada-opportunities/services/bsp.html,Federal,ACOA,"To accelerate growth and adopt innovative technologies that support scale-up, commercialization, productivity and market expansion to become more competitive globally.",None,NotApplicable,Program,PrinceEdwardIsland,FinancingCreditIncomeStability,FinancialSupportIncentives,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2019-12-19,2021-04-08,2021-04-08,"To accelerate growth and adopt innovative technologies that support scale-up, commercialization, productivity and market expansion to become more competitive globally."
program,Regional Innovation Ecosystems,ACOA-10003-en,https://www.canada.ca/en/atlantic-canada-opportunities/services/rie.html,Federal,ACOA,"Funding under this program stream helps create, grow and develop strong and inclusive regional networks that support business growth and innovation.",None,NotApplicable,Program,PrinceEdwardIsland,FinancingCreditIncomeStability,FinancialSupportIncentives,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2019-12-19,2021-04-08,2021-04-08,"Funding under this program stream helps create, grow and develop strong and inclusive regional networks that support business growth and innovation."
program,Pulse Canada,ASSN-10002-en,http://www.pulsecanada.com/,Other,ASSN,"The Pulse Program was created by the global pulse industry as a way to share information on pulse nutrition, health, sustainability, processing, applications and consumer insights with stakeholders.",None,NotApplicable,Service,AcrossCanada,DataMapsTools,EconomicDataInformation,GrainsCerealsOtherCrops,GeneralPublic,open,2019-05-14,2021-09-01,2019-11-19,"The Pulse Program was created by the global pulse industry as a way to share information on pulse nutrition, health, sustainability, processing, applications and consumer insights with stakeholders."
program,Canadian Organic Growers,ASSN-10003-en,https://www.cog.ca/,Other,ASSN,"Offers training and resources to raise awareness about organics and assist farmers and gardeners in adopting sustainable and commercially viable, organic production method.",None,NotApplicable,Service,AcrossCanada,LeadershipTrainingWorkforceDevelopment,TrainingWorkshops,FruitsVegetablesOtherHorticulture,IndustryAssociationsFarmingOrganizations,open,2019-05-14,2021-09-01,2020-12-01,"Offers training and resources to raise awareness about organics and assist farmers and gardeners in adopting sustainable and commercially viable, organic production method."
program,Canadian Bison Association,ASSN-10004-en,https://www.canadianbison.ca/,Other,ASSN,"The Canadian Bison Association is responsible for providing guidance on a number of issues including: marketing, animal health, research, animal identification, government liaison, trade, traceability, the bison registry, conservation and other developmental initiatives.",None,NotApplicable,GuidesInformation,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,GeneralPublic,open,2019-05-14,2021-09-01,2020-12-01,"The Canadian Bison Association is responsible for providing guidance on a number of issues including: marketing, animal health, research, animal identification, government liaison, trade, traceability, the bison registry, conservation and other developmental initiatives."
program,Canola Council of Canada,ASSN-10005-en,https://www.canolacouncil.org/,Other,ASSN,"The Canola Council is the first industry association in Canada to encompass all links in the value chain. Together, we are building on the strengths of canola, Canada’s greatest agricultural success story.",None,NotApplicable,Service,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,IndustryAssociationsFarmingOrganizations,open,2019-05-14,2021-09-01,2020-12-01,"The Canola Council is the first industry association in Canada to encompass all links in the value chain. Together, we are building on the strengths of canola, Canada’s greatest agricultural success story."
program,Pork Marketing Canada,ASSN-10006-en,https://putporkonyourfork.com/,Other,ASSN,Pork Marketing Canada is a national marketing initiative of provincial pork organizations across Canada.,None,NotApplicable,Marketing,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Livestock,GeneralPublic,open,2019-05-14,2021-09-01,2020-12-01,Pork Marketing Canada is a national marketing initiative of provincial pork organizations across Canada.
program,Canadian Meat Council,ASSN-10007-en,https://cmc-cvc.com/,Other,ASSN,CMC is an Ottawa based trade association that advocates on behalf of its members – meat packers and processors operating establishments licensed under the Safe Food for Canadians Regulations. ,None,NotApplicable,Service,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,ProcessedFoodsAgriBasedProducts,FarmersFoodProducers,open,2019-05-14,2021-09-01,2020-12-01,CMC is an Ottawa based trade association that advocates on behalf of its members – meat packers and processors operating establishments licensed under the Safe Food for Canadians Regulations. 
program,Protein Industries Canada,ASSN-10009-en,https://www.proteinindustriescanada.ca/,Other,ASSN,"Protein Industries Canada (PIC) is an industry-led value chain consortium of small-to large-sized enterprises involved in food and food ingredient manufacturing, agriculture and food-related services, research and development, technology, economic development, finance and investment, education and training.",None,NotApplicable,Service,AcrossCanada,FinancingCreditIncomeStability,FinancialSupportIncentives,ProcessedFoodsAgriBasedProducts,IndustryAssociationsFarmingOrganizations,open,2019-05-14,2021-09-01,2020-12-01,"Protein Industries Canada (PIC) is an industry-led value chain consortium of small-to large-sized enterprises involved in food and food ingredient manufacturing, agriculture and food-related services, research and development, technology, economic development, finance and investment, education and training."
program,Cereals Canada,ASSN-10010-en,https://cerealscanada.ca/,Other,ASSN,"To enhance the competitiveness of the Canadian cereals industry by providing leadership on behalf of the value chain to key initiatives of common and strategic interest, including innovation, market development and advocacy.",None,NotApplicable,Marketing,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,IndustryAssociationsFarmingOrganizations,open,2019-05-14,2021-09-01,2020-12-04,"To enhance the competitiveness of the Canadian cereals industry by providing leadership on behalf of the value chain to key initiatives of common and strategic interest, including innovation, market development and advocacy."
program,"The Alliance of Crop, Soil, and Environmental Science Societies",ASSN-10011-en,https://dl.sciencesocieties.org,Other,ASSN,"The Alliance of Crop, Soil, and Environmental Science Societies (ACSESS) is an association of prominent international scientific societies headquartered in Madison, Wisconsin, USA.",None,NotApplicable,Research,International,WaterSoilShelterbelts,ResearchResults,Nonspecific,EducationalResearchInstitutions,open,2019-05-14,2021-09-01,2021-01-05,"The Alliance of Crop, Soil, and Environmental Science Societies (ACSESS) is an association of prominent international scientific societies headquartered in Madison, Wisconsin, USA."
program,Saskatchewan Soil Conservation Association,ASSN-10013-en,http://ssca.ca/,Other,ASSN,The Saskatchewan Soil Conservation Association (SSCA) is a non-profit producer-based organization whose mission is: “to promote conservation agriculture systems that improve the land and environment for future generations”.,None,NotApplicable,Service,Saskatchewan,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Nonspecific,IndustryAssociationsFarmingOrganizations,open,2019-05-16,2021-09-01,2021-01-04,The Saskatchewan Soil Conservation Association (SSCA) is a non-profit producer-based organization whose mission is: “to promote conservation agriculture systems that improve the land and environment for future generations”.
program,Ontario Maple Syrup Producers Association,ASSN-10025-en,https://www.omspa.ca/,Other,ASSN,The Ontario Maple Syrup Producers’ Association (OMSPA) is a producer based organization formed in 1966 to represent maple syrup producers across the province.,None,NotApplicable,Service,Ontario,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,AgribusinessesFoodProcessors,open,2019-06-21,2021-09-02,2021-01-04,The Ontario Maple Syrup Producers’ Association (OMSPA) is a producer based organization formed in 1966 to represent maple syrup producers across the province.
program,Ontario Agri Business Association,ASSN-10026-en,https://oaba.on.ca/index.php,Other,ASSN,"The Ontario Agri Business Association (OABA) is a voluntary, non-profit organization that serves to represent the interests of country grain elevators, feed manufacturing facilities and crop input supply business, operating out of 340 business locations throughout Ontario.",None,NotApplicable,Service,Ontario,DataMapsTools,EconomicDataInformation,GrainsCerealsOtherCrops,AgriculturalServiceProvidersSuppliers,open,2019-06-21,2021-09-02,2021-01-04,"The Ontario Agri Business Association (OABA) is a voluntary, non-profit organization that serves to represent the interests of country grain elevators, feed manufacturing facilities and crop input supply business, operating out of 340 business locations throughout Ontario."
program,Maple Producers Association of Nova Scotia,ASSN-10027-en,https://www.novascotiamaplesyrup.com/,Other,ASSN,Promotes the common goal of bettering the maple syrup industry in Nova Scotia.,None,NotApplicable,Service,NovaScotia,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,FruitsVegetablesOtherHorticulture,AgribusinessesFoodProcessors,open,2019-06-21,2021-09-02,2020-12-04,Promotes the common goal of bettering the maple syrup industry in Nova Scotia.
program,Canadian Canola Growers Association,ASSN-10028-en,http://www.ccga.ca/,Other,ASSN,"At the Canadian Canola Growers Association (CCGA), our vision is “helping farmers succeed” and our mission is “to influence national and international issues, programs and policies to enhance the success of Canadian canola farmers”.",None,NotApplicable,Service,AcrossCanada,SectorCompetitivenessAdaptation,FinancialSupportIncentives,BeesApiculture,AgribusinessesFoodProcessors,open,2019-06-21,2021-09-02,2021-01-04,"At the Canadian Canola Growers Association (CCGA), our vision is “helping farmers succeed” and our mission is “to influence national and international issues, programs and policies to enhance the success of Canadian canola farmers”."
program,Canadian Oilseed Processors Association,ASSN-10029-en,https://copacanada.com/,Other,ASSN,COPA is a federally incorporated non-profit industry association that works in partnership with the Canola Council of Canada (CCC) to represent the interests of oilseed processors in Canada.,None,NotApplicable,Service,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,GrainsCerealsOtherCrops,AgribusinessesFoodProcessors,open,2019-06-21,2021-09-02,2020-12-04,COPA is a federally incorporated non-profit industry association that works in partnership with the Canola Council of Canada (CCC) to represent the interests of oilseed processors in Canada.
program,Canadian Agri-Food Trade Alliance,ASSN-10030-en,http://cafta.org/,Other,ASSN,CAFTA’s core mandate is to advance multilateral liberalization of agriculture and agri-food trade through the progressive reduction of trade distorting protection and support.,None,NotApplicable,ImportExport,UnitedStates,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,ProcessedFoodsAgriBasedProducts,IndustryAssociationsFarmingOrganizations,open,2019-06-21,2021-09-02,2020-12-04,CAFTA’s core mandate is to advance multilateral liberalization of agriculture and agri-food trade through the progressive reduction of trade distorting protection and support.
program,Canadian International Grains Institute,ASSN-10031-en,https://cigi.ca/,Other,ASSN,Canadian International Grains Institute is a not-for profit institute providing pre-market and in-market technical support for the Canadian grain sector.,None,NotApplicable,Service,International,LeadershipTrainingWorkforceDevelopment,TrainingWorkshops,ProcessedFoodsAgriBasedProducts,IndustryAssociationsFarmingOrganizations,open,2019-06-21,2021-09-02,2020-12-08,Canadian International Grains Institute is a not-for profit institute providing pre-market and in-market technical support for the Canadian grain sector.
